AWAY,HOME,INT_DATE,FLOAT_TIME,DATETIME
Nationals,Mets,0,0.549,0.549
Tigers,Indians,0,0.549,0.549
Royals,White Sox,0,0.590,0.590
Cubs,Brewers,0,0.590,0.590
Yankees,Orioles,0,0.628,0.628
Red Sox,Blue Jays,0,0.651,0.651
Twins,Athletics,0,0.672,0.672
Rockies,Padres,0,0.674,0.674
Giants,Dodgers,0,0.674,0.674
Rangers,Mariners,0,0.674,0.674
Cardinals,Reds,0,0.674,0.674
Phillies,Marlins,0,0.674,0.674
Pirates,Rays,0,0.674,0.674
Angels,Astros,0,0.799,0.799
Braves,Diamondbacks,0,0.924,0.924
Red Sox,Blue Jays,1,0.797,1.797
Phillies,Marlins,1,0.799,1.799
Angels,Astros,1,0.840,1.840
Braves,Diamondbacks,1,0.903,1.903
Twins,Athletics,1,0.922,1.922
Giants,Dodgers,1,0.924,1.924
Rockies,Padres,1,0.924,1.924
Rangers,Mariners,1,0.924,1.924
Tigers,Indians,2,0.549,2.549
Royals,White Sox,2,0.590,2.590
Cardinals,Reds,2,0.590,2.590
Red Sox,Blue Jays,2,0.630,2.630
Pirates,Rays,2,0.632,2.632
Nationals,Mets,2,0.670,2.670
Yankees,Orioles,2,0.670,2.670
Twins,Athletics,2,0.672,2.672
Phillies,Marlins,2,0.757,2.757
Angels,Astros,2,0.799,2.799
Cubs,Brewers,2,0.799,2.799
Braves,Diamondbacks,2,0.840,2.840
Rockies,Padres,2,0.861,2.861
Giants,Dodgers,2,0.882,2.882
Rangers,Mariners,2,0.882,2.882
Yankees,Orioles,3,0.545,3.545
Red Sox,Blue Jays,3,0.547,3.547
Nationals,Mets,3,0.549,3.549
Cardinals,Reds,3,0.549,3.549
Phillies,Marlins,3,0.549,3.549
Tigers,Indians,3,0.549,3.549
Pirates,Rays,3,0.549,3.549
Angels,Astros,3,0.590,3.590
Royals,White Sox,3,0.590,3.590
Twins,Athletics,3,0.672,3.672
Rockies,Padres,3,0.674,3.674
Rangers,Mariners,3,0.674,3.674
Braves,Diamondbacks,3,0.674,3.674
Cubs,Brewers,3,0.798,3.798
Royals,Tigers,4,0.549,4.549
Pirates,Cubs,4,0.674,4.674
White Sox,Indians,4,0.757,4.757
Red Sox,Orioles,4,0.774,4.774
Nationals,Marlins,4,0.778,4.778
Reds,Blue Jays,4,0.797,4.797
Phillies,Mets,4,0.799,4.799
Yankees,Rays,4,0.799,4.799
Cardinals,Brewers,4,0.819,4.819
Giants,Diamondbacks,4,0.903,4.903
Astros,Athletics,4,0.922,4.922
Braves,Padres,4,0.924,4.924
Rockies,Dodgers,4,0.924,4.924
Twins,Mariners,4,0.924,4.924
Angels,Rangers,5,0.670,5.670
White Sox,Indians,5,0.757,5.757
Red Sox,Orioles,5,0.774,5.774
Nationals,Marlins,5,0.778,5.778
Reds,Blue Jays,5,0.797,5.797
Phillies,Mets,5,0.799,5.799
Yankees,Rays,5,0.799,5.799
Pirates,Cubs,5,0.819,5.819
Cardinals,Brewers,5,0.819,5.819
Giants,Diamondbacks,5,0.903,5.903
Astros,Athletics,5,0.922,5.922
Braves,Padres,5,0.924,5.924
Rockies,Dodgers,5,0.924,5.924
Twins,Mariners,5,0.924,5.924
Red Sox,Orioles,6,0.545,6.545
Royals,Tigers,6,0.549,6.549
Phillies,Mets,6,0.549,6.549
